en;it;es;Fr
Help, help!!!;Aiuto, aiuto!!!;Ayuda, ayuda!!!;A l'aide, à l'aide !!!
\nb[OURHERO]Hey! Someone needs help!;\nb[NOSTROEROE]Hey! A qualcuno serve una mano!;\nb[NUESTROHEROE]¡Oye! ¡Alguien necesita ayuda!;\nb[NOTREHEROS]Hé ! Quelqu'un appelle à l'aide !
\nb[OURHERO]The voice came from here!\.§There should be a button that opens this door§around here...;\nb[NOSTROEROE]La voce proveniva da qui dietro!\.§Ci deve essere un bottone che apre il cancello qui da§qualche parte...;\nb[NUESTROHEROE]¡La voz vino de aquí!\.§Debería haber algun botón para abrir esta puerta§por aquí en alguna parte...;\nb[NOTREHEROS]La voix venait de là !\.§Il devrait y avoir un bouton pour ouvrir par ici...
\nb[OURHERO]Why were you trapped here?;\nb[NOSTROEROE]Cosa ci facevi chiuso lì dentro?;\nb[NUESTROHEROE]¿Por qué estabas atrapado aquí?;\nb[NOTREHEROS]Comment as-tu été piégé ici ?
The minions of the bloody Finalboss kidnapped me!;Mi hanno catturato! Quei maledetti scagnozzi di§Bossfinale!;Los secuaces del sangriendo Jefefinal me§secuestraron!;Les sbires de ce satané Bossfinal m'ont kidnappé !
\nb[OURHERO]Finalboss?;\nb[NOSTROEROE]Bossfinale?;\nb[NUESTROHEROE]Jefefinal?;\nb[NOTREHEROS]Bossfinal ?
Yeah, the one who stole the Teorhemas Crystal!\|§Everyone knows him by now!;Sì, quello che ha rubato il Cristallo di Teorhemas!\|§La notizia ormai circola per tutto il regno!;Si, el que robó el Cristal de Theoremas!\|§Ya lo conocen todos!;Ouais, celui qui a volé le Cristal de Teorhemas !\|§Tout le monde le connais par ici !
\nb[OURHERO]Why did they lock you up?;\nb[NOSTROEROE]Perché ti hanno imprigionato?;\nb[NUESTROHEROE]Por qué te encerraron?;\nb[NOTREHEROS]Pourquoi t'ont-ils capturé ?
Because I know their weakness!;Perché io conosco il loro punto debole!;Porque conozco su debilidad!;Parce que je connais leur point faible !
You must be aware that the Finalboss henchmen are§just living beings without any IQ!§They can't think, speak or rationalize...;Devi sapere che gli scagnozzi di Bossfinale sono solo§degli esseri privi di qualsiasi capacità intellettiva!§Non sanno pensare, parlare, ragionare...;Debes saber que los secuaces de Jefefinal son seres§sin capacidad intelectual!§No pueden pensar, hablar ni razonar.;Tu sais que les lieutenants de Bossfinal sont des§êtres vivants sans cervelle !§Ils ne pensent ni ne parlent...
They are living beings brought to life thanks to the§amazing and magical power of the Teorhemas§Crystal!\|§They exist with only one purpose... TO KILL!;Anche loro sono esseri riportati in vita dal magico§e portentoso stratosferico Cristallo di Teorhemas!\|§Seguono solo lo scopo per cui sono stati riportati in§vita... Uccidere!;Son seres devueltos a la vida gracias al asombroso§y mágico poder del Cristal de Theoremas!\|§Existen con un solo propósito... MATAR!;Ce sont des êtres ramenés à la vie grâce au pouvoir§incroyable et magique du Cristal de Teorhemas!\|§Ils existent uniquement dans le but... DE TUER !!!
But if you could interfere with the Teorhemas§Crystal, the source of all their knowledge, those§beings would become even stupider than they§already are!;Ma... Se si interferisse con il Cristallo di Teorhemas,§ovvero la fonte di tutti i loro comandi, questi esseri§diventerebbero ancora più stupidi di quello che sono!;Pero si pudieras interferir con el Cristal de§Theoremas, la fuente de todos sus conocimentos,§estos seres se volverían aún mas estúpidos!;Mais si tu pouvais interférer avec le Cristal de §Teorhemas, la source de tout leur savoir, ces êtres§deviendraient encore plus stupides qu'ils ne le sont§déjà !
They would even stop obeying orders!§They would be shambling dead incapable of doing§anything but mimic the movement of anything they§see.;Neppure guidati dal loro scopo principale.§Corpi morti, ma in vita, che seguono le mosse di§qualsiasi cosa gli si trovi davanti.;¡Incluso dejarían de obedecer órdenes!§Estarían tambaleándose muertos incapaces de hacer§nada más que imitar el movimiento de cualquier cosa§que vean.;Ils se mettraient même à désobéir !§Ils erreraient, incapables de faire quoi que ce soit§sinon de reproduire les mouvements de ce qu'ils§voient.
\nb[OURHERO]Wow! And how can I interfere with the Teorhemas§Crystal?;\nb[NOSTROEROE]Wow! E come posso interferire con il Cristallo di§Teorhemas?;\nb[NUESTROHEROE]¡Vaya! Y cómo puedo interferir con el Cristal de§Theoremas?;\nb[NOTREHEROS]Ouah ! Et comment pourrai-je interférer avec le§Cristal de Teorhemas ?
At the moment is not possible, due to the fact that§the crystal is not in our hands.;In questo momento farlo direttamente è impossibile,§dato che il cristallo non è nelle nostre mani.;De momento no es posible, ya que el cristal no está§en nuestras manos.;C'est impossible pour le moment, à cause du fait que§nous n'avons pas le cristal.
But this fragment of Controller Crystal is everything§we need!;Ma questo frammento di Cristallo Controllore fa al§caso nostro!;Pero este fragmento para controlar el Cristal es todo§lo que necesitamos!;Mais ce fragment de Cristal de Contrôle est tout ce§dont nous avons besoin !
Just a small amount of energy is enough to activate§it...;Per farlo funzionare hai solo bisogno di una piccola§fonte di energia...;Para que funcione, solo necesita una pequeña fuente§de energía.;Juste une petite quantité suffit à l'activer...
There! Those little lights are perfect!§Try to activate the fragment I gave you close to one§of those lights, with an enemy nearby, and you will§see its astonishing power!;Ecco! Quelle lucine sono perfette!§Prova ad attivare il frammento vicino ad una di§quelle lucine, dove ci sia anche un nemico, e vedrai il§suo incredibile potere!;¡Ahí! ¡Esas lucecitas son perfectas!§¡Intenta activar el fragmento que te di cerca de una§de esas luces, con un enemigo cerca, y verás su§asombroso poder!;Voilà ! Ces petites lumières sont parfaites !§Essaie d'activer le fragment que je t'ai donné en§l'approchant de ces lumières, avec un ennemi en§approche, et tu verras son pouvoir étonnant !
Try to activate the fragment I gave you close to one§of those lights, with an enemy nearby, and you will§see its astonishing power!;Prova ad attivare il frammento vicino ad una di§quelle lucine, dove ci sia anche un nemico, e vedrai§il suo incredibile potere!;¡Intenta activar el fragmento que te di cerca de una§de esas luces, con un enemigo cerca, y verás su§asombroso poder!;Essaie d'activer le fragment que je t'ai donné en§l'approchant de ces lumières, avec un ennemi en§approche, et tu verras son pouvoir étonnant !
